"Table 2: Early estimates of proven re-offending rates for Prolific and other Priority Offenders, by upper-tier local authority1: 2009-2010",,,,,
,,,,,
,Jan 2009 to Dec 2009,Apr 2009 to Mar 2010,Jul 2009 to Jun 2010,Oct 2009 to Sep 2010,Jan 2010 to Dec 2010
Average number of re-offences per re-offender,1.59,2.41,2.81,2.11,2.75
Average number of re-offences per offender,0.90,1.11,1.22,1.05,1.16
Number of re-offences,35,41,45,40,44
Number of offenders in cohort,39,37,37,38,38
Average number of previous offences per offender,65.9,70.0,77.8,80.2,82.9
,,,,,
Gloucestershire,,,,,
Proportion of offenders who re-offend (%),40.5,40.0,34.2,34.7,28.8
Average number of re-offences per re-offender,2.68,2.21,1.70,1.80,1.84
Average number of re-offences per offender,1.08,0.88,0.58,0.63,0.53
Number of re-offences,91,75,46,45,35
Number of offenders in cohort,84,85,79,72,66
Average number of previous offences per offender,69.8,70.0,72.9,78.6,76.8
,,,,,
Greenwich,,,,,
Proportion of offenders who re-offend (%),*,50.0,47.4,43.2,48.6
Average number of re-offences per re-offender,*,2.10,2.17,2.31,2.12
Average number of re-offences per offender,*,1.05,1.03,1.00,1.03
Number of re-offences,17,42,39,37,36
Number of offenders in cohort,19,40,38,37,35
Average number of previous offences per offender,*,59.4,60.8,64.0,60.9
,,,,,
Gwynedd,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,23,8,16,15,10
Number of offenders in cohort,12,12,10,12,13
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Hackney,,,,,
Proportion of offenders who re-offend (%),*,41.9,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,21,22,14,16,11
Number of offenders in cohort,28,31,25,27,29
Average number of previous offences per offender,*,49.0,*,*,*
,,,,,
Halton,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,26,21,25,22,21
Number of offenders in cohort,23,22,23,22,25
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Hammersmith and Fulham,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,16,12,8,9,12
Number of offenders in cohort,16,20,19,17,19
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Hampshire,,,,,
Proportion of offenders who re-offend (%),41.3,43.7,38.0,36.9,41.7
Average number of re-offences per re-offender,3.00,3.01,2.97,2.35,2.60
Average number of re-offences per offender,1.24,1.32,1.13,0.87,1.08
Number of re-offences,198,208,178,129,156
Number of offenders in cohort,160,158,158,149,144
Average number of previous offences per offender,57.4,60.0,60.8,59.3,58.8
,,,,,
Haringey,,,,,
Proportion of offenders who re-offend (%),41.2,44.7,46.9,*,*
Average number of re-offences per re-offender,*,1.82,2.07,*,*
Average number of re-offences per offender,*,0.82,0.97,*,*
Number of re-offences,28,31,31,30,27
Number of offenders in cohort,34,38,32,27,27
Average number of previous offences per offender,46.2,47.5,50.0,*,*
,,,,,
Harrow,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,16,15,9,6,14
Number of offenders in cohort,24,17,17,15,20
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Hartlepool,,,,,
Proportion of offenders who re-offend (%),64.3,59.2,51.2,41.7,72.1
Average number of re-offences per re-offender,3.44,3.03,2.86,3.07,2.74
Average number of re-offences per offender,2.21,1.80,1.47,1.28,1.98
Number of re-offences,93,88,63,46,85
Number of offenders in cohort,42,49,43,36,43
Average number of previous offences per offender,84.8,85.2,87.4,81.5,80.3
,,,,,
Havering,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,26,22,14,8,10
Number of offenders in cohort,18,14,19,18,15
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Herefordshire,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,24,31,36,15,10
Number of offenders in cohort,24,24,21,19,16
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Hertfordshire,,,,,
Proportion of offenders who re-offend (%),32.3,40.5,44.3,40.4,47.7
Average number of re-offences per re-offender,2.76,3.00,2.58,2.55,2.38
Average number of re-offences per offender,0.89,1.22,1.14,1.03,1.14
Number of re-offences,113,141,111,97,100
Number of offenders in cohort,127,116,97,94,88
Average number of previous offences per offender,51.6,47.7,51.4,51.3,47.0
,,,,,
Hillingdon,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,9,10,7,3,1
Number of offenders in cohort,19,18,18,16,14
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Hounslow,,,,,
Proportion of offenders who re-offend (%),36.4,*,*,*,33.3
Average number of re-offences per re-offender,2.58,*,*,*,*
Average number of re-offences per offender,0.94,*,*,*,*
Number of re-offences,31,25,30,26,23
Number of offenders in cohort,33,26,26,29,30
Average number of previous offences per offender,65.1,*,*,*,67.8
,,,,,
Isle of Anglesey,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,3,1,4,4,3
Number of offenders in cohort,4,4,6,7,5
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Isle of Wight,,,,,
Proportion of offenders who re-offend (%),60.0,38.5,42.9,64.0,59.3
Average number of re-offences per re-offender,3.11,3.10,3.17,3.00,2.94
Average number of re-offences per offender,1.87,1.19,1.36,1.92,1.74
Number of re-offences,56,31,38,48,47
Number of offenders in cohort,30,26,28,25,27
Average number of previous offences per offender,49.5,47.9,47.3,45.2,45.6
,,,,,
Islington,,,,,
Proportion of offenders who re-offend (%),42.9,23.9,18.4,13.9,22.2
Average number of re-offences per re-offender,1.62,*,*,*,*
Average number of re-offences per offender,0.69,*,*,*,*
Number of re-offences,34,18,12,7,15
Number of offenders in cohort,49,46,38,36,36
Average number of previous offences per offender,37.2,35.7,33.6,35.8,42.1
,,,,,
Kensington and Chelsea,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,14,15,15,20,10
Number of offenders in cohort,15,17,17,18,18
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Kent,,,,,
Proportion of offenders who re-offend (%),47.8,41.9,42.3,39.9,43.9
Average number of re-offences per re-offender,2.24,2.18,2.06,2.02,1.84
Average number of re-offences per offender,1.07,0.91,0.87,0.80,0.81
Number of re-offences,199,157,142,123,112
Number of offenders in cohort,186,172,163,153,139
Average number of previous offences per offender,43.7,43.2,47.5,51.5,52.3
,,,,,
Kingston-upon-Hull,,,,,
Proportion of offenders who re-offend (%),39.2,35.8,33.3,39.8,52.8
Average number of re-offences per re-offender,2.84,2.79,2.77,2.36,2.55
Average number of re-offences per offender,1.11,1.00,0.92,0.94,1.35
Number of re-offences,88,81,72,78,97
Number of offenders in cohort,79,81,78,83,72
Average number of previous offences per offender,60.6,61.4,64.0,65.8,70.2
,,,,,
Kingston-upon-Thames,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,22,15,12,7,9
Number of offenders in cohort,14,16,16,15,13
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Kirklees,,,,,
Proportion of offenders who re-offend (%),27.5,33.8,25.8,25.0,22.2
Average number of re-offences per re-offender,2.37,2.55,2.18,*,*
Average number of re-offences per offender,0.65,0.86,0.56,*,*
Number of re-offences,45,56,37,17,13
Number of offenders in cohort,69,65,66,52,45
Average number of previous offences per offender,47.4,47.7,49.2,49.3,53.0
,,,,,
Knowsley,,,,,
Proportion of offenders who re-offend (%),38.8,25.6,24.3,16.2,28.1
Average number of re-offences per re-offender,1.89,*,*,*,*
Average number of re-offences per offender,0.73,*,*,*,*
Number of re-offences,36,22,16,10,15
Number of offenders in cohort,49,39,37,37,32
Average number of previous offences per offender,38.0,34.3,35.9,38.0,41.0
,,,,,
Lambeth,,,,,
Proportion of offenders who re-offend (%),*,16.1,16.7,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,17,12,16,12,8
Number of offenders in cohort,27,31,30,29,26
Average number of previous offences per offender,*,55.3,50.0,*,*
,,,,,
Lancashire,,,,,
Proportion of offenders who re-offend (%),43.5,44.2,41.4,39.9,40.7
Average number of re-offences per re-offender,2.54,2.46,2.57,2.69,2.49
Average number of re-offences per offender,1.11,1.09,1.06,1.07,1.01
Number of re-offences,257,263,247,223,184
Number of offenders in cohort,232,242,232,208,182
Average number of previous offences per offender,59.8,57.4,58.1,60.1,58.8
,,,,,
Leeds,,,,,
Proportion of offenders who re-offend (%),42.4,40.3,37.4,28.2,30.1
Average number of re-offences per re-offender,2.26,2.23,2.67,1.73,1.71
Average number of re-offences per offender,0.96,0.90,1.00,0.49,0.51
Number of re-offences,165,125,107,38,53
Number of offenders in cohort,172,139,107,78,103
