Table 5,,,,,,,,,,,,,,,,,,,,
"PLACEMENT OF CHILDREN AND YOUNG PEOPLE FOR WHOM LOCAL AUTHORITIES MAINTAIN A STATEMENT OF SPECIAL EDUCATIONAL NEEDS (SEN), OR EHC PLAN BY EACH LOCAL AUTHORITY (1)",,,,,,,,,,,,,,,,,,,,
By region and Local Authority area in England,,,,,,,,,,,,,,,,,,,,
January: 2015,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
LA Code,,,"Total children and young people for whom the authority maintains a statement of SEN, or EHC plan","Percentages of children and young people for whom the authority maintains a statement, or EHC plan placed in: (2)",,,,,,,,,,,,,,,"Percentage of children and young people for whom the authority maintains a statement of SEN, or EHC plan who were educated other than in school (2)","Percentage of children and young people for whom the authority maintains a statement of SEN, or EHC plan who were awaiting provision (2)"
,,,,non-maintained early years settings in the private and voluntary sector,resourced provision in maintained mainstream schools,SEN units in maintained mainstream schools,maintained mainstream schools (including foundation schools),maintained special schools (including foundation schools),"non-maintained special schools, independent special schools and other independent schools",hospital schools (including foundation schools) and pupil referral units,academies (including free schools),special academies (including free schools),alternative provision academies (including free schools),general further education and tertiary colleges/ higher education,other further education,sixth form college,work based learning (apprenticeships),independent specialist providers,,
,,,,,,,,,,,,,,,,,,,,
,,ENGLAND,"240,185",0.4,3.4,2.1,29.3,34.5,6.5,0.5,15.9,5.7,0.1,0.0,0.0,x,0.0,x,1.0,0.4
E06000016,856.0,Leicester,"1,280",x,4.2,0.6,23.9,47.7,5.9,x,8.6,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.9,x
E10000018,855.0,Leicestershire,"2,770",0.2,0.0,10.5,29.2,17.8,8.1,x,13.2,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7
E10000019,925.0,Lincolnshire,"3,280",0.2,0.0,0.0,17.1,41.4,4.1,0.6,26.6,9.0,0.0,x,0.0,0.0,0.0,0.0,0.7,0.2
E10000021,928.0,Northamptonshire,"3,935",0.5,1.8,5.2,13.3,32.2,4.7,x,37.4,3.3,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.8
E06000018,892.0,Nottingham,620,x,x,0.0,7.8,52.3,4.0,0.0,15.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.6
E10000024,891.0,Nottinghamshire,"1,645",0.4,0.0,x,11.1,48.0,11.7,x,15.6,10.0,0.0,0.0,0.0,x,0.0,0.0,2.8,x
E06000017,857.0,Rutland,170,0.0,0.0,9.5,10.7,9.5,13.7,0.0,53.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,x,0.0
,,,,,,,,,,,,,,,,,,,,
,,WEST MIDLANDS,"28,425",0.2,2.4,0.2,25.8,41.5,5.6,0.5,15.1,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.4
E08000025,330.0,Birmingham,"7,295",0.3,3.2,0.0,20.7,43.2,6.3,0.1,16.1,9.1,x,0.0,0.0,0.0,0.0,0.0,0.7,0.5
E08000026,331.0,Coventry,"1,430",0.3,6.1,0.9,17.5,44.0,2.7,x,11.5,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
E08000027,332.0,Dudley,"1,385",0.0,3.7,0.0,33.3,52.9,1.7,0.2,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3
E06000019,884.0,Herefordshire,580,x,0.0,5.7,25.6,17.1,3.6,0.5,15.7,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0
E08000028,333.0,Sandwell,"1,355",0.4,5.4,0.0,36.5,37.1,3.6,0.3,15.9,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0
E06000051,893.0,Shropshire,"1,645",0.4,0.0,0.4,41.9,6.0,6.9,1.7,21.9,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2
E08000029,334.0,Solihull,"1,230",0.0,1.5,0.0,22.7,37.4,9.5,6.0,18.5,2.4,0.0,0.2,0.0,0.0,0.0,0.0,1.5,x
E10000028,860.0,Staffordshire,"3,400",0.3,0.0,0.5,28.0,59.2,4.9,0.5,4.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9
E06000021,861.0,Stoke-on-Trent,"1,350",0.0,0.4,0.0,19.3,50.2,7.0,x,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.8
E06000020,894.0,Telford and Wrekin,"1,035",0.0,0.0,0.0,34.2,46.7,3.8,0.0,14.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7,x
E08000030,335.0,Walsall,"1,260",x,3.1,0.2,30.6,47.7,3.0,0.3,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0
E10000031,937.0,Warwickshire,"2,785",x,0.6,0.0,28.2,34.1,10.1,0.0,17.6,7.9,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.1
E08000031,336.0,Wolverhampton,"1,295",0.0,5.6,0.0,20.8,53.4,1.9,0.5,15.5,x,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.8
E10000034,885.0,Worcestershire,"2,380",x,3.5,0.0,20.9,30.4,4.8,x,21.4,17.4,0.1,0.0,0.0,0.0,0.0,0.0,1.3,0.0
,,,,,,,,,,,,,,,,,,,,
,,EAST OF ENGLAND,"27,635",0.5,1.7,2.0,27.2,28.8,5.1,0.5,25.6,6.4,0.5,0.0,0.0,0.0,0.0,0.0,1.3,0.4
E06000055,822.0,Bedford,755,x,2.3,0.0,23.2,8.9,5.4,0.0,27.6,30.8,1.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0
